transcript_id,pfam_id,start,end,domain_name
ENST00000477152,PF00097,24,45,PF00097
ENST00000477152,PF12820,318,481,PF12820
ENST00000478531,PF00097,24,64,PF00097
ENST00000478531,PF00533,557,619,PF00533
ENST00000484087,PF00533,432,494,PF00533
ENST00000489037,PF15227,24,46,PF15227
ENST00000491747,PF00533,557,619,PF00533
ENST00000491747,PF00533,653,738,PF00533
ENST00000491747,PF00097,24,64,PF00097
ENST00000492859,PF00097,24,45,PF00097
ENST00000493795,PF00533,1710,1795,PF00533
ENST00000493795,PF00533,1615,1676,PF00533
ENST00000493795,PF04873,601,931,PF04873
ENST00000493795,PF12820,297,460,PF12820
ENST00000493919,PF00533,511,572,PF00533
ENST00000494123,PF12820,344,473,PF12820
ENST00000494123,PF00097,24,64,PF00097
ENST00000497488,PF12820,48,177,PF12820
ENST00000503591,PF00870,95,128,PF00870
ENST00000503591,PF08563,6,29,PF08563
ENST00000508793,PF08563,6,29,PF08563
ENST00000508793,PF00870,95,165,PF00870
ENST00000509647,PF00028,154,247,PF00028
ENST00000509690,PF00870,1,156,PF00870
ENST00000514944,PF00870,31,155,PF00870
ENST00000514944,PF08563,6,29,PF08563
ENST00000528762,PF09121,1,38,PF09121
ENST00000544455,PF00634,1517,1550,PF00634
ENST00000544455,PF00634,2051,2084,PF00634
ENST00000544455,PF00634,1002,1036,PF00634
ENST00000544455,PF00634,1972,2005,PF00634
ENST00000544455,PF00634,1212,1246,PF00634
ENST00000544455,PF00634,1664,1696,PF00634
ENST00000544455,PF00634,1837,1869,PF00634
ENST00000544455,PF00634,1421,1454,PF00634
ENST00000544455,PF09121,2831,2872,PF09121
ENST00000544455,PF09169,2479,2667,PF09169
ENST00000544455,PF09103,2670,2799,PF09103
ENST00000544455,PF09104,3052,3190,PF09104
ENST00000586385,PF00533,67,152,PF00533
ENST00000591534,PF00533,248,333,PF00533
ENST00000591534,PF00533,152,214,PF00533
ENST00000604348,PF00870,95,142,PF00870
ENST00000604348,PF08563,6,29,PF08563
